date,hs300,sp500,cgb10y,gold,policy_bond,credit_bond,cash
2020-11-30,0.07679251583875445,0.0552312799346677,0.3763691530218889,0.06720233516941847,0.4244047160352703,0.0,2.220446049250313e-16
2020-12-31,0.0763751314202285,0.05481688915186035,0.37405332278216274,0.06683864093315536,0.42791601571259286,0.0,1.1102230246251565e-16
2021-01-29,0.07503608606320879,0.054889134277988846,0.37294853154931795,0.06668459646186575,0.4304416516476185,0.0,2.220446049250313e-16
2021-02-26,0.07197878397284255,0.055479576851933485,0.3716415228122953,0.06614003363679671,0.43476008272613176,0.0,2.220446049250313e-16
2021-03-31,0.06942700901603162,0.055332143765080555,0.37644398935455914,0.06681016080933663,0.4319866970549919,0.0,2.220446049250313e-16
2021-04-30,0.06733272880659312,0.057628551767521574,0.37135592751707175,0.06857227001086601,0.43511052189794736,0.0,2.220446049250313e-16
2021-05-31,0.06439162168068997,0.05830978441364359,0.3665235088240046,0.0686851225848448,0.44208996249681687,0.0,2.220446049250313e-16
2021-06-30,0.06138159854271236,0.057684533893462314,0.36324241508363786,0.0672846710202997,0.45040678145988755,0.0,2.220446049250313e-16
2021-07-30,0.056769649144229606,0.055952485986737535,0.35897195829608464,0.06388310173964684,0.46442280483330123,0.0,2.220446049250313e-16
2021-08-31,0.053038103027038506,0.053960634233071306,0.3546560935732113,0.0641981529518802,0.4741470162147985,0.0,2.220446049250313e-16
2021-09-30,0.04931136523739958,0.05406953878743763,0.3561778187461929,0.06315943996662512,0.4772818372623446,0.0,2.220446049250313e-16
2021-10-29,0.047427420998554515,0.056490510339111205,0.3575452703585281,0.06336978994613662,0.4751670083576694,0.0,2.220446049250313e-16
2021-11-30,0.04641996805910544,0.05924274571516591,0.36029317361273083,0.06363990533995663,0.4704042072730411,0.0,0.0
2021-12-31,0.04566259539268871,0.06026187728353991,0.36360523072425854,0.06413376547414146,0.46633653112537127,0.0,0.0
2022-01-28,0.0458145951035563,0.0604656611650109,0.36546007342433334,0.06584612336838522,0.46241354693871417,0.0,1.1102230246251565e-16
2022-02-28,0.04656170152354112,0.05863211240653787,0.3695084864244655,0.06842419747013315,0.4568735021753223,0.0,1.1102230246251565e-16
2022-03-31,0.047482194636652125,0.058403286311693094,0.3730581139036486,0.07227783213577797,0.448778573012228,0.0,2.220446049250313e-16
2022-04-29,0.04755198380639543,0.058052699793636156,0.3739465657060367,0.07569493966719773,0.44475381102673384,0.0,1.1102230246251565e-16
2022-05-31,0.047857445450976976,0.05730132596590699,0.3766352636458044,0.07852377298853898,0.4396821919487725,0.0,2.220446049250313e-16
2022-06-30,0.04805031361820351,0.05581367737289928,0.3807065382387752,0.08090946564120165,0.4345200051289203,0.0,1.1102230246251565e-16
2022-07-29,0.03655234333762937,0.04216134188674199,0.2869820229362079,0.06151139815014103,0.3265797469730557,0.24621314671622394,0.0
2022-08-31,0.030469421152435578,0.03369670410074033,0.23413157317034,0.05123367354236222,0.26433123266800684,0.38613739536611497,0.0
2022-09-30,0.026194441548072645,0.027347263471834495,0.19763531369473444,0.043933723186047664,0.22048357404900104,0.48440568405030965,0.0
2022-10-31,0.02343622688416975,0.02275845269477014,0.17177514113645295,0.03895640137427875,0.1901417951836063,0.5529319827267221,0.0
2022-11-30,0.023882309558438293,0.020832876098516813,0.16311449376438197,0.03899533079263135,0.17878857973929874,0.5743864100467329,0.0
2022-12-30,0.024357036690171842,0.019632468695706104,0.15862397598500355,0.03941298308182371,0.17270927363995375,0.5852642619073409,1.1102230246251565e-16
2023-01-31,0.02460264265232987,0.018826995296506267,0.15614834578803774,0.03978024767544498,0.16875553196588172,0.5918862366217993,1.1102230246251565e-16
2023-02-28,0.024609585564679702,0.01817473419104486,0.15512737998086992,0.03954765288854604,0.1679820615805051,0.5945585857943543,1.1102230246251565e-16
2023-03-31,0.06108240376586874,0.04658274405808441,0.10858916598660893,0.10706362233951945,0.11758744310635356,0.41619101005604797,0.142903610687517
2023-04-28,0.08746913382503317,0.06682238620730374,0.07601241619062625,0.15238352280399708,0.0823112101744475,0.29133370703923356,0.2436676237593587
2023-05-31,0.11127757331026247,0.0829174817000078,0.05320869133343837,0.186803796755696,0.05761784712211324,0.2039335949274635,0.3042410148510186
2023-06-30,0.12863924068799956,0.09511884686252364,0.037246083933406865,0.2111062617695849,0.04033249298547928,0.14275351644922443,0.34480355731178136
